DATE;POL;GDP;CPI;OIL;FX;UNEMP
1993;3.1;9424065;65.6255;106.4362;106.4475934;7.133333333
1993.25;3;9480106;66.12995;105.8809;104.578899;7.066666667
1993.5;3.1;9526337;66.38982;105.0507;102.3333636;6.8
1993.75;3;9653509;66.84843;105.3305;100.6894486;6.633333333
1994;3.3;9748156;67.27645;103.7253;105.4842995;6.566666667
1994.25;4.3;9881384;67.70448;102.6855;103.3606919;6.2
1994.5;4.7;9939655;68.30065;102.4676;102.1906832;6
1994.75;5.5;10052518;68.62167;102.3829;100.3534125;5.633333333
1995;6;10086878;69.18728;102.5138;99.31995668;5.466666667
1995.25;6;10122122;69.79874;102.1214;96.46471076;5.666666667
1995.5;5.8;10208772;70.10448;100.6731;95.52434126;5.666666667
1995.75;5.6;10281246;70.44078;99.7522;96.00053305;5.566666667
1996;5.3;10348691;71.08282;100.3969;96.17024854;5.533333333
1996.25;5.3;10529379;71.786;99.4124;95.94454455;5.5
1996.5;5.3;10626778;72.16817;99.9661;96.13678133;5.266666667
1996.75;5.3;10739057;72.68792;99.3546;96.67965064;5.333333333
1997;5.4;10820908;73.17709;99.1231;97.49599302;5.233333333
1997.25;5.6;10984150;73.46754;99.6495;97.5465137;5
1997.5;5.5;11124013;73.75798;100.2482;98.84991054;4.866666667
1997.75;5.5;11210329;74.04842;99.3193;101.8425153;4.666666667
1998;5.5;11321246;74.24715;99.5092;105.1697061;4.633333333
1998.25;5.6;11431046;74.64461;98.2587;104.8619584;4.4
1998.5;5.5;11580587;74.93505;94.7331;107.0634035;4.533333333
1998.75;4.7;11770686;75.19492;93.5371;105.5607141;4.433333333
1999;4.8;11864675;75.48537;91.3001;107.9473496;4.3
1999.25;4.8;11962524;76.21913;90.0513;109.0842892;4.266666667
1999.5;5.2;12113075;76.69302;90.5149;109.263698;4.233333333
1999.75;5.3;12323336;77.1669;91.3048;109.109565;4.066666667
2000;5.9;12359095;77.93123;89.9709;109.8056893;4.033333333
2000.25;6.5;12592530;78.75671;89.9377;111.8921548;3.933333333
